wnid,synset,gloss,safety
n10152763,guru,"a recognized leader in some field or of some movement; ""a guru of genomics""",safe
n09858165,black belt,a person who attained the rank of expert in the martial arts (judo or karate),safe
n10134178,"goat herder, goatherd",a person who tends a flock of goats,safe
n10058411,enjoyer,a person who delights in having or using or experiencing something,safe
n10758949,voicer,someone who regulates the tone of organ pipes,safe
n10634990,spellbinder,an orator who can hold his listeners spellbound,safe
n10302905,matriculate,someone who has been admitted to a college or university,safe
n10056719,"end man, corner man",a man at one end of line of performers in a minstrel show; carries on humorous dialogue with the interlocutor,safe
n10146816,"grenadier, grenade thrower",an infantryman equipped with grenades,safe
n10500942,"question master, quizmaster",the host or chairman of a radio or tv quiz show or panel game,safe
n10208950,inspector general,a military officer responsible for investigations,safe
n10227985,"jurist, legal expert",a legal scholar versed in civil law or the law of nations,safe
n10525436,"retailer, retail merchant",a merchant who sells goods at retail,safe
n10395073,"pallbearer, bearer",one of the mourners carrying the coffin at a funeral,safe
n10070108,executive vice president,a vice president holding executive power,safe
n10536274,rocket scientist,"a clever thinker; ""you do not have to be a rocket scientist to figure that out""",safe
n09888635,"caller, caller-out","a person who announces the changes of steps during a dance; ""you need a fiddler and a caller for country dancing""",safe
n09942970,commissioned officer,a military officer holding a commission,safe
n09786115,alto,a singer whose voice lies in the alto clef,safe
n10134396,godchild,an infant who is sponsored by an adult (the godparent) at baptism,safe
n10225219,"judge, justice, jurist",a public official authorized to decide questions brought before a court of justice,safe
n09755555,absolver,someone who grants absolution,safe
n10304086,mayoress,the wife of a mayor,safe
n10649308,"starter, dispatcher",the official who signals the beginning of a race or competition,safe
n10455619,"portraitist, portrait painter, portrayer, limner",a painter or drawer of portraits,safe
n10354754,"neurosurgeon, brain surgeon",someone who does surgery on the nervous system (especially the brain),safe
n10345302,"narc, nark, narcotics agent",a lawman concerned with narcotics violations,safe
n09820263,"athlete, jock",a person trained to compete in sports,safe
n10086383,"fielder, fieldsman",a member of the cricket team that is fielding rather than batting,safe
n09873899,"breeder, stock breeder",a person who breeds animals,safe
n09802445,appreciator,"a person who is fully aware of something and understands it; ""he is not an appreciator of our dilemma""",safe
n09953052,conductor,the person who collects fares on a public conveyance,safe
n10211666,International Grandmaster,a chess player who has been awarded the highest title by an international chess organization,safe
n10479135,procurator,(ancient Rome) someone employed by the Roman Emperor to manage finance and taxes,safe
n10028541,doyenne,a woman who is the senior member of a group,safe
n10377633,oncologist,a specialist in oncology,safe
n10483395,"property man, propman, property master",member of the stage crew in charge of properties,safe
n09619452,finisher,a worker who performs the last step in a manufacturing process,safe
n09784564,alliterator,a speaker or writer who makes use of alliteration,safe
n10168584,"heir, inheritor, heritor",a person who is entitled by law or by the terms of a will to inherit the estate of another,safe
n10679610,Surgeon General,the head of the United States Public Health Service,safe
n09751076,"Serbian, Serb",a member of a Slavic people who settled in Serbia and neighboring areas in the 6th and 7th centuries,safe
n10471640,prima ballerina,a leading female ballet dancer,safe
n10283366,major,"a university student who is studying a particular field as the principal subject; ""she is a linguistics major""",safe
n09843824,"baton twirler, twirler",someone who twirls a baton,safe
n10646032,stainer,a worker who stains (wood or fabric),safe
n10365514,nudger,"someone who nudges; someone who gives a gentle push; ""he needs a regular nudger to keep him awake""",safe
n10044879,"editor, editor in chief",a person responsible for the editorial aspects of publication; the person who determines the final content of a text (especially of a newspaper or magazine),safe
n09839702,barmaid,a female bartender,safe
n10482220,"promoter, booster, plugger",someone who is an active supporter and advocate,safe
n10411551,"peddler, pedlar, packman, hawker, pitchman",someone who travels about selling his wares (as on the streets or at carnivals),safe
n10023264,doge,formerly the chief magistrate in the republics of Venice and Genoa,safe
n10269199,locksmith,someone who makes or repairs locks,safe
n10624437,songstress,a woman songster (especially of popular songs),safe
n10386984,outfielder,(baseball) a person who plays in the outfield,safe
n10439851,"player, participant",a person who participates in or is skilled at some game,safe
n09864632,bombshell,"an entertainer who has a sensational effect; ""she was a blonde bombshell""",safe
n10283170,major,a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain,safe
n10747424,vegan,a strict vegetarian; someone who eats no animal or dairy products at all,safe
n10343869,mythologist,an expert on mythology,safe
n10142946,grandmaster,a player of exceptional or world class skill in chess or bridge,safe
n10574840,security consultant,an adviser about alarm systems to prevent burglaries,safe
n10679174,"surgeon, operating surgeon, sawbones",a physician who specializes in surgery,safe
n10542608,runner,"a person who is employed to deliver messages or documents; ""he sent a runner over with the contract""",safe
n09983314,curandera,a Mexican woman who practices healing techniques inherited from the Mayans,safe
n10443659,pluralist,a philosopher who believes that no single explanation can account for all the phenomena of nature,safe
n09951070,computer scientist,a scientist who specializes in the theory of computation and the design of computers,safe
n09777870,buck sergeant,a sergeant of the lowest rank in the military,safe
n10478960,"proctor, monitor",someone who supervises (an examination),safe
n10514255,referral,"a person whose case has been referred to a specialist or professional group; ""the patient is a referral from Dr. Bones""",safe
n10244913,land agent,a person who administers a landed estate,safe
n10141364,"grammarian, syntactician",a linguist who specializes in the study of grammar and syntax,safe
n10383816,"originator, conceiver, mastermind",someone who creates new things,safe
n09931640,"coach, manager, handler",(sports) someone in charge of training an athlete or a team,safe
n09763784,"acquaintance, friend","a person with whom you are acquainted; ""I have trouble remembering the names of all my acquaintances""; ""we are friends of the family""",safe
n10416567,periodontist,a dentist specializing in diseases of the gums and other structure surrounding the teeth,safe
n10002257,"demographer, demographist, population scientist",a scientist who studies the growth and density of populations and their vital statistics,safe
n09809279,army attache,a military attache who is a commissioned or warrant officer in an army,safe
n10241024,"labor coach, birthing coach, doula, monitrice",an assistant (often the father of the soon-to-be-born child) who provides support for a woman in labor by encouraging her to use techniques learned in childbirth-preparation classes,safe
n10213034,intervenor,(law) a party who interposes in a pending proceeding,safe
