wnid,synset,gloss,imageability score
n09865398,bond servant,someone bound to labor without wages,1.888888889
n10639238,"sport, summercater",(Maine colloquial) a temporary summer resident of Maine,1.888888889
n09681973,Jewess,a woman who is a Jew,1.888888889
n10329035,monologist,an entertainer who performs alone,1.888888889
n10401639,"partaker, sharer",someone who has or gives or receives a part or a share,1.875
n09801275,April fool,the butt of a prank played on April 1st,1.875
n10575787,"seeker, searcher, quester","someone making a search or inquiry; ""they are seekers after truth""",1.875
n10141364,"grammarian, syntactician",a linguist who specializes in the study of grammar and syntax,1.875
n10311506,messmate,(nautical) an associate with whom you share meals in the same mess (as on a ship),1.875
n10145480,great granddaughter,a daughter of your grandson or granddaughter,1.875
n09836343,banderillero,the bullfighter who implants decorated darts (banderillas) into the neck or shoulders of the bull during a bull fight,1.875
n09720595,Lebanese,a native or inhabitant of Lebanon,1.875
n10738871,Arminian,adherent of Arminianism,1.875
n10113583,"front man, front, figurehead, nominal head, straw man, strawman",a person used as a cover for some questionable activity,1.875
n09650729,Biloxi,a member of the Siouan people of southeastern Mississippi,1.875
n10442417,"plodder, slogger",someone who works slowly and monotonously for long hours,1.866666667
n10011360,dialectician,a logician skilled in dialectic,1.857142857
n09611722,conservator,someone appointed by a court to assume responsibility for the interests of a minor or incompetent person,1.857142857
n10458356,pro-lifer,an advocate of full legal protection for embryos and fetuses; someone opposed to legalized induced abortion,1.857142857
n10576818,selectwoman,an elected member of a board of officials who run New England towns,1.857142857
n09705671,Amhara,a member of the Semitic speaking people of northern Ethiopia,1.857142857
n10095869,"flatterer, adulator",a person who uses flattery,1.857142857
n10598459,"silent partner, sleeping partner",a partner (who usually provides capital) whose association with the enterprise is not public knowledge,1.857142857
n09731436,South African,a native or inhabitant of South Africa,1.857142857
n09607782,argonaut,someone engaged in a dangerous but potentially rewarding adventure,1.857142857
n09961739,convener,the member of a group whose duty it is to convene meetings,1.857142857
n09627906,"recipient, receiver",a person who receives something,1.857142857
n09653438,Comanche,a member of the Shoshonean people who formerly lived between Wyoming and the Mexican border but are now chiefly in Oklahoma,1.857142857
n10190122,housing commissioner,a commissioner in charge of public housing,1.857142857
n09663786,Osage,a member of the Siouan people formerly living in Missouri in the valleys of the Missouri and Osage rivers; oil was found on Osage lands early in the 20th century,1.857142857
n09758173,"abstainer, ascetic",someone who practices self denial as a spiritual discipline,1.857142857
n10042845,"eccentric, eccentric person, flake, oddball, geek",a person with an unusual or odd personality,1.857142857
n10629939,"sparring partner, sparring mate",a boxer who spars with another boxer who is training for an important fight,1.857142857
n09743601,Marylander,a native or resident of Maryland,1.857142857
n10507565,rapporteur,a recorder appointed by a committee to prepare reports of the meetings,1.857142857
n09937802,colonialist,a believer in colonialism,1.857142857
n09854915,biochemist,someone with special training in biochemistry,1.857142857
n09901337,catechist,one who instructs catechumens in preparation for baptism (especially one using a catechism),1.846153846
n10198437,"idol, matinee idol",someone who is adored blindly and excessively,1.833333333
n10325549,class act,someone who shows impressive and stylish excellence,1.833333333
n09961605,convalescent,a person who is recovering from illness,1.833333333
n09670909,Tuscarora,a member of an Iroquois people who formerly lived in North Carolina and then moved to New York State and joined the Iroquois,1.833333333
n10498986,quartermaster,an army officer who provides clothing and subsistence for troops,1.833333333
n09851575,betrothed,the person to whom you are engaged,1.833333333
n10465831,presbyter,an elder in the Presbyterian Church,1.833333333
n09955406,"Confucian, Confucianist",a believer in the teachings of Confucius,1.833333333
n09696585,Canadian,a native or inhabitant of Canada,1.833333333
n10708454,thinker,someone who exercises the mind (usually in an effort to reach a decision),1.833333333
n10661563,"strategist, strategian",an expert in strategy (especially in warfare),1.833333333
n10111779,Freudian,a person who follows the basic theories or practices of Sigmund Freud,1.833333333
n09688804,Frank,a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century,1.833333333
n09983314,curandera,a Mexican woman who practices healing techniques inherited from the Mayans,1.833333333
n10208189,inquiry agent,a private detective,1.818181818
n09863339,boffin,(British slang) a scientist or technician engaged in military research,1.818181818
n09669631,"Teton, Lakota, Teton Sioux, Teton Dakota",a member of the large western branch of Sioux people which was made up of several groups that lived on the plains,1.818181818
n09938080,"coloratura, coloratura soprano",a lyric soprano who specializes in coloratura vocal music,1.80952381
n10361296,nonparticipant,a person who does not participate,1.8
n10000787,delegate,a person appointed or elected to represent others,1.8
n09699020,"Cypriot, Cypriote, Cyprian",a native or inhabitant of Cyprus,1.8
n10284965,malcontent,a person who is discontented or disgusted,1.8
n10399130,pardoner,a medieval cleric who raised money for the church by selling papal indulgences,1.8
n09934488,cognitive neuroscientist,a cognitive scientist who studies the neurophysiological foundations of mental phenomena,1.8
n10733820,tutee,learns from a tutor,1.8
n10062042,"epigone, epigon",an inferior imitator of some distinguished writer or artist of musician,1.8
n10505613,raiser,a bridge partner who increases the partner's bid,1.8
n09703932,Cornishwoman,a woman who is a native or resident of Cornwall,1.8
n09691729,Bahamian,a native or inhabitant of the Bahamas,1.8
n09944430,committeewoman,a woman who is a member of a committee,1.8
n10342893,muzzler,someone who muzzles animals,1.8
n10225931,judge advocate,an officer assigned to the judge advocate general,1.8
n09820044,atheist,someone who denies the existence of god,1.8
n09720033,"Lapp, Lapplander, Sami, Saami, Same, Saame",a member of an indigenous nomadic people living in northern Scandinavia and herding reindeer,1.8
n10719132,"town crier, crier",(formerly) an official who made public announcements,1.8
n10715789,torchbearer,a leader in a campaign or movement,1.8
n10778711,Augustinian,a Roman Catholic friar or monk belonging to one of the Augustinian monastic orders,1.8
n10482587,promulgator,(law) one who promulgates laws (announces a law as a way of putting it into execution),1.8
n09699642,Dane,a native or inhabitant of Denmark,1.8
n09979321,critic,anyone who expresses a reasoned judgment of something,1.8
n10075299,eyewitness,a spectator who can describe what happened,1.8
n10168012,"hedger, equivocator, tergiversator",a respondent who avoids giving a clear direct answer,1.8
n10228712,kachina,a masked dancer during a Pueblo religious ceremony who is thought to embody some particular spirit,1.8
n10210911,"interlocutor, conversational partner",a person who takes part in a conversation,1.8
n10313724,"microeconomist, microeconomic expert",an economist who specializes in microeconomics,1.8
n09986904,cytogeneticist,a geneticist who specializes in the cellular components associated with heredity,1.8
n09681107,"Uniat, Uniate, Uniate Christian",a member of the Uniat Church,1.8
n10728998,"trier, attempter, essayer",one who tries,1.8
n10276477,lumper,a taxonomist who classifies organisms into large groups on the basis of major characteristics,1.8
n10403633,"party man, party liner",a member of a political party who follows strictly the party line,1.8
